observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
566,-1.312413648872797,-1.5456031671297275,-0.8245369179169691,-1.6670911596560887
489,-0.34999808840967445,-1.0677711472408136,-0.7507305817394514,-0.5698195453868143
906,-0.3949072952230706,-0.6319157051454803,-0.6940362398581101,-0.6041956868015772
12,-1.6870837524848024,-0.6563943179936234,-2.0193466708043353,-0.7764161872050436
908,-0.19226177517255427,-0.7659242785750733,-1.3647643366770215,-0.9679223714869023
1009,-0.33041534842929265,-1.2964279350802566,-0.7649492231693066,-1.3499457715230827
338,-0.4362567847680502,-0.9532711907696498,-1.0046031261105177,-4.130042022723979
1034,-0.18967668075807134,-0.9801645095585776,-0.8476573459489759,-1.3301834147446954
910,-2.515824241295949,-1.036223681896846,-0.8380628916562286,-1.2023245043651742
713,-1.1838090982586202,-1.1054143940345222,-0.6547855274705784,-0.9597276891065519
494,-0.19499136255206906,-0.9305740054951976,-0.8566461347462941,-1.0646019201663504
975,-0.31883225886203054,-0.7483747805817174,-0.6953864840413856,-0.5817225104815628
216,-2.045257466751007,-0.8299447753368565,-0.7553213445089675,-0.6788248718587067
1005,-0.40082840448034224,-0.8894465786813354,-0.7550318318045738,-0.6169492133276174
11,-0.3360331533225217,-0.5924281748769886,-1.0521468210411582,-0.6301618312328049
452,-0.22077340685344796,-0.7820103695269826,-0.8267695665596567,-0.5622553245381174
212,-0.7782932456897143,-0.5490349531159585,-1.8391200999784605,-1.7426134680551493
46,-2.4628464407813424,-0.627843507333149,-1.1053699063460867,-0.5834861563558418
571,-1.2983981567827343,-1.350109482645254,-1.8959417912161127,-0.5975831368881398
649,-2.5117885064009653,-1.7769080204713505,-1.0895092577023655,-0.924099257328164
512,-0.6052648924037624,-0.7962132911475029,-0.7527952298219338,-0.6709988195654016
393,-0.4890553009807375,-0.7485198751451743,-1.174965916391735,-1.1309606394987464
513,-0.30486160423834596,-0.8248471112572917,-1.341163670193605,-1.3523538997926519
956,-0.24260279134362184,-0.81532250882299,-1.0186313812591727,-0.5608991272159624
363,-0.2884939865649959,-1.0258898160511574,-1.1105164664508134,-0.5879765098474325
1028,-0.5401799067863075,-0.9469704155508785,-0.7807741543680597,-0.7034447412817011
148,-0.16787882845390356,-0.7294066948215197,-1.357002265490695,-1.5504323091091126
495,-0.2997133492464372,-3.0292430984539123,-1.246139277628418,-1.5027640996846554
1019,-1.0042028065613933,-1.1879955614237157,-0.7784429950894396,-1.0196500319344346
776,-0.3782743053003135,-0.687015130148075,-0.7151596170060479,-0.5967132895586836
809,-0.5628069396947003,-0.5052201023657189,-0.8808306931368163,-5.173417922930867
439,-0.29112628688886,-0.9132024773986627,-1.0955655864558471,-0.583296143917048
486,-0.17467099707972789,-0.6865932169864548,-0.7034827462228823,-0.6941911568884523
765,-0.2098125987565733,-0.8092398647881056,-2.287552306399836,-1.5532438175813241
