observations,centile,WM-hypointensities
199,0.25,763.9541345395419
199,0.5,999.8476461917322
199,0.75,1235.7411578439207
199,0.95,1575.1125751289364
2,0.05,1036.7715472240582
2,0.25,1400.5069285551722
2,0.5,1653.3355760021796
2,0.75,1906.1642234491874
2,0.95,2269.899604780299
20,0.05,1037.9584944039395
20,0.25,1408.7942013357276
20,0.5,1666.558210614962
20,0.75,1924.3222198941946
20,0.95,2295.1579268259857
200,0.05,424.88859583803617
200,0.25,767.8854590689077
200,0.5,1006.2989801618268
200,0.75,1244.7125012547467
200,0.95,1587.7093644856168
202,0.05,571.4201268697173
202,0.25,909.838673939556
202,0.5,1145.069855502175
202,0.75,1380.301037064795
202,0.95,1718.7195841346315
203,0.05,578.2646854310188
203,0.25,917.636102716036
203,0.5,1153.5296143682237
203,0.75,1389.4231260204126
203,0.95,1728.7945433054301
206,0.05,424.88859583803617
206,0.25,767.8854590689077
206,0.5,1006.2989801618268
206,0.75,1244.7125012547467
206,0.95,1587.7093644856168
207,0.05,421.6864705121184
207,0.25,770.8496299241673
207,0.5,1013.5492787991532
207,0.75,1256.2489276741433
207,0.95,1605.4120870861911
208,0.05,575.3684386886094
208,0.25,924.5315981006565
208,0.5,1167.2312469756457
208,0.75,1409.9308958506347
208,0.95,1759.0940552626835
21,0.05,938.4960459749475
21,0.25,1377.2566725593397
21,0.5,1682.2345808573239
21,0.75,1987.2124891553083
21,0.95,2425.9731157397046
210,0.05,424.88859583803617
210,0.25,767.8854590689077
210,0.5,1006.2989801618268
210,0.75,1244.7125012547467
210,0.95,1587.7093644856168
211,0.05,421.6864705121184
211,0.25,770.8496299241673
211,0.5,1013.5492787991532
211,0.75,1256.2489276741433
211,0.95,1605.4120870861911
213,0.05,575.3684386886094
213,0.25,924.5315981006565
213,0.5,1167.2312469756457
213,0.75,1409.9308958506347
213,0.95,1759.0940552626835
214,0.05,399.80103879204773
214,0.25,770.6367457238345
214,0.5,1028.4007550030676
214,0.75,1286.164764282301
214,0.95,1657.0004712140878
215,0.05,421.6864705121184
215,0.25,770.8496299241673
215,0.5,1013.5492787991532
215,0.75,1256.2489276741433
215,0.95,1605.4120870861911
216,0.05,575.3684386886094
216,0.25,924.5315981006565
216,0.5,1167.2312469756457
216,0.75,1409.9308958506347
216,0.95,1759.0940552626835
217,0.05,413.77537683357536
217,0.25,772.0524226434715
217,0.5,1021.0870383356047
217,0.75,1270.1216540277378
217,0.95,1628.3986998376345
218,0.05,399.80103879204773
218,0.25,770.6367457238345
218,0.5,1028.4007550030676
218,0.75,1286.164764282301
218,0.95,1657.0004712140878
221,0.05,578.570564014527
221,0.25,921.5674272453991
221,0.5,1159.9809483383183
221,0.75,1398.3944694312386
221,0.95,1741.3913326621082
222,0.05,421.86038598891275
222,0.25,759.805014743321
222,0.5,994.7067806569818
222,0.75,1229.6085465706424
222,0.95,1567.553175325048
223,0.05,421.6864705121184
223,0.25,770.8496299241673
223,0.5,1013.5492787991532
223,0.75,1256.2489276741433
223,0.95,1605.4120870861911
224,0.05,578.570564014527
224,0.25,921.5674272453991
224,0.5,1159.9809483383183
224,0.75,1398.3944694312386
224,0.95,1741.3913326621082
226,0.05,424.88859583803617
226,0.25,767.8854590689077
226,0.5,1006.2989801618268
226,0.75,1244.7125012547467
226,0.95,1587.7093644856168
227,0.05,424.5827172545271
227,0.25,763.9541345395419
227,0.5,999.8476461917322
227,0.75,1235.7411578439207
227,0.95,1575.1125751289364
228,0.05,417.7381586932298
228,0.25,756.1567057630646
228,0.5,991.3878873256836
228,0.75,1226.6190688883034
228,0.95,1565.037615958139
229,0.05,413.77537683357536
229,0.25,772.0524226434715
229,0.5,1021.0870383356047
229,0.75,1270.1216540277378
229,0.95,1628.3986998376345
23,0.05,968.0477483885576
23,0.25,1388.2253137941693
23,0.5,1680.2863312302816
